name,city,brand,operator,longitude,latitude
Wetherby Film Theatre,Wetherby,,,-1.3902801,53.929948
,,,,-3.7783407,50.2857243
The Ashford Cinema,,,,0.8690435,51.1467739
Savoy Cinema,Penzance,,,-5.5387222,50.1197257
Phoenix,Leicester,,,-1.1244775,52.6358425
The Arzner,London,,,-0.0807865,51.4976739
Vue,Stroud,Vue,,-2.2184853,51.7466611
Vue,Southport,Vue,,-3.0152124,53.6521385
The Cinema,,,,-4.48227,54.9584062
Showcase Cinemas,,Showcase Cinemas,,-2.0709563,52.5169095
Savoy Cinema,Grantham,,,-0.638884,52.9101874
The Regal Cinema,,,,-0.8715475,53.5644633
"Pentland's Picture House, Gilford",,,,-5.7990086,54.6480088
Omniplex,Carrickfergus,,Omniplex Cinema Group,-5.8127632,54.7124439
Whirled Cinema,London,,,-0.1013366,51.4650547
Cineworld,,Cineworld,,-0.4005847,51.5589033
Studio Cinema Dunoon,,,,-4.9265348,55.9510499
Vue,Northampton,Vue,,-0.90232,52.2373781
Brecon Coliseum,,,,-3.3920267,51.9474265
Odeon,Lincoln,Odeon,,-0.5436253,53.2289501
Cineworld,,Cineworld,,-2.1764752,53.029224
Kings Cinema,,Merlin Cinemas,,-3.7780933,50.2856128
Vue Cinema,Nottingham,Vue,,-1.1501814,52.9558339
